"VIDEO_CODE";"GENRE_CODE";"VIDEO_TITLE";"MOVIE_RATED";"RELEASE_DATE";"PRODUCTION";"DIRECTOR";"TOTAL_VIEW"
"AC20010001";"Action";"소림축구";7;"2001-01-01";"";"주성치";17
"AC20030135";"Action";"캐리비안의 해적: 블랙펄의 저주";12;"2003-09-05";"월트 디즈니 픽처스";"고어 버빈스키";4
"AC20060146";"Action";"캐리비안의 해적: 망자의 함";12;"2006-07-06";"월트 디즈니 픽처스";"고어 버빈스키";2
"AC20070057";"Action";"캐리비안의 해적: 세상의 끝에서";12;"2007-05-23";"월트 디즈니 픽처스";"고어 버빈스키";3
"AC20100214";"Action";"아저씨";19;"2010-08-04";"오퍼스픽쳐스";"이정범";1
"AC20221118";"Action";"샤잠! 신들의 분노";0;"2022-03-17";"";"데이비드 샌드버그";0
"AC20226436";"Action";"울프 하운드";15;"2023-02-09";"주식회사 풍경소리";"마이클 B. 체이트";0
"AC20226886";"Action";"블랙아담";12;"2022-10-19";"워너브러더스 코리아(주)";"자움 콜렛 세라";0
"AC20239572";"Action";"디텍티브 나이트 가면의 밤";15;"2023-02-08";"(주)디스테이션";"에드워드 드레이크";1
"AC20239731";"Action";"새비지 맨";18;"2023-01-26";"주식회사 디에스이이디";"랜들 에멧";1
"AN19883333";"Animation";"이웃집 토토로";15;"2001-07-28";"스튜디오 지브리";"미야자키 하야오";4
"AN20020168";"Animation";"센과 치히로의 행방불명";0;"2002-06-27";"스튜디오 지브리";"미야자키 하야오";2
"AN20026116";"Thriller";"데몬러버";12;"2002-08-15";"";"올리베에아사야스";1
"AN20030401";"Animation";"바람계곡의 나우시카";0;"2000-12-30";"톱 크래프트";"미야자키 하야오";3
"AN20040756";"Animation";"하울의 움직이는 성";0;"2004-12-23";"스튜디오 지브리";"미야자키 하야오";1
"AN20203335";"Animation";"두다다쿵: 후후섬의 비밀";0;"2020-08-13";"아이스크림 스튜디오(주)";"최병선";1
"AN20221115";"Animation";"스즈메의 문단속";7;"2022-12-01";"";"신카이마코트";0
"CO19872223";"Comed";"햄릿, 장사를 떠나다";12;"1987-06-19";"";"아키카우리스마키";0
"CO19940292";"Comed";"마스크";15;"1994-07-29";"뉴라인 시네마";"척러셀";2
"CO20121111";"Comed";"2 데이즈 인 뉴욕";15;"2012-01-01";"(주)트윈필름,(주)비에이엔터테인먼트";"줄리델피";2
"CO20195555";"Comed";"베이비길들이기";7;"2019-10-30";"오퍼스픽쳐스";"하워드혹스";2
"CO20221007";"Comed";"고양막걸리사수대작전";15;"2022-02-17";"";"윤여창";0
"DO20222220";"Documentary";"여기도 사람있어요";7;"2022-01-07";"김충길 필름";"김충길";1
"DR20190808";"Drama";"교섭";12;"2023-01-18";"(주)영화사수박";"신범수";0
"DR20191110";"Drama";"누구도 기억하지 않는 하루";15;"2019-05-09";"";"이수지";5
"DR20221007";"Drama";"지상의 천사";15;"2021-08-20";"";"심이안";1
"DR20221113";"Drama";"동작교의 기나긴 밤";12;"2022-05-05";"";"조성환";0
"DR20222225";"Drama";"얼굴이 붉어진 이유";7;"2022-05-12";"";"정숙윤";0
"DR20222227";"Drama";"제9회 스토리업쇼츠 섹션1.우연적 필연";12;"2022-12-08";"";"이수지";0
"DR20222229";"Drama";"새벽 두 시에 불을 붙여";12;"2022-05-13";"";"송태섭";2
"DR20230101";"Drama";"돌아가는 길";12;"2013-01-01";"";"임동익";0
"ER20213332";"Erotic";"슬기로운 성생활";19;"2021-06-04";"(주)씨맥스커뮤니케이션즈";"신세계";0
"ER20223334";"Erotic";"뼈가 부서질 정도로 안아줘";19;"2021-06-04";"";"마메자와마메타로";1
"FA20011231";"Fantasy";"반지의 제왕 : 반지원정대";12;"2001-12-31";"파라마운트 픽쳐스";"피터 잭슨";17
"FA20021219";"Fantasy";"반지의 제왕 : 두개의 탑";12;"2002-12-19";"파라마운트 픽쳐스";"피터 잭슨";1
"FA20032222";"Fantasy";"반지의 제왕 : 왕의 귀환";12;"2003-07-18";"파라마운트 픽쳐스";"피터 잭슨";2
"FM20213331";"Family";"더 문(가제)";12;"2021-03-12";"(주)블라드스튜디오,(주)씨제이이엔엠";"김용화";0
"HI20189998";"Historical";"명량";15;"2018-08-22";"레전더리픽처스";"김한민";0
"HI20229999";"Historical";"한산:용의출현";15;"2022-03-24";"레전더리픽처스";"김한민";0
"HO19940101";"Horror";"어서와요 훈련소에";19;"1994-01-01";"국방문화진흥원";"3소대장";4
"HO20189262";"Horror";"더 넌";15;"2018-09-07";"뉴라인 시네마";"코린하디";2
"HO20221112";"Horror";"마루이 비디오";12;"2020-04-29";"";"윤준형";0
"MU20081169";"Musical";"맘마미아!";12;"2008-09-03";"플레이툰";"필리다 로이드";0
"MU20128274";"Musical";"레미제라블";12;"2012-12-19";"워킹 타이틀 필름스";"톰 후퍼";2
"MU20167904";"Musical";"라라랜드";12;"2016-12-07";"서밋엔터테인먼트";"데미언 샤젤";1
"MU20179462";"Musical";"위대한 쇼맨";12;"2017-12-20";"20세기 폭스";"마이클 그레이시";2
"MU20226666";"Musical";"미녀와야수";15;"2022-06-02";"파라마운트 픽쳐스";"빌콘돈";4
"NE20211114";"Drama";"마지막 점심";12;"2021-02-11";"";"임병호";0
"OT20212226";"Other";"제9회 스토리업쇼츠 섹션2.대담한 대담: 실화를 바탕으로 함";12;"2021-09-02";"";"이수지";1
"OT20221007";"Other";"약구르트";0;"2022-05-27";"";"박범진";0
"RO20050082";"Romance";"이터널 선샤인";15;"2005-11-10";"코리아픽처스";"미셸 공드리";4
"RO20135428";"Romance";"어바웃타임";15;"2013-12-05";"워킹 타이틀";"리처드 커티스";5
"RO20209654";"Romance";"헤어질 결심";15;"2023-02-01";"모호필름";"박찬욱";1
"RO20229305";"Romance";"네가 떨어뜨린 푸른 하늘";12;"2023-02-08";" (주)이놀미디어 ";"사이토 유키";0
"SF20060151";"SF";"괴물";12;"2006-07-27";"영화사 청어람";"봉준호";1
"SF20126674";"SF";"설국열차";15;"2013-08-01";"오퍼스픽쳐스";"봉준호";1
"SF20210087";"SF";"듄";15;"2021-10-20";"레전더리 픽처스";"드니빌뇌브";3
"SF20225061";"SF";"아바타: 물의 길";12;"2022-12-14";"월트디즈니컴퍼니코리아";"제임스 카메론";1
"SH20212228";"Show";"야행성";15;"2021-04-16";"";"박범진";1
"TH20030046";"Thriller";"살인의 추억";15;"2003-04-25";"싸이더스";"봉준호";0
"TH20081056";"Thriller";"다크나이트";15;"2008-08-06";"워너 브라더스";"크리스토퍼 놀란";4
"TH20112703";"Thriller";"다크나이트 라이즈";15;"2012-07-19";"워너 브라더스";"크리스토퍼 놀란";2
"TH20183782";"Thriller";"기생충";15;"2019-05-30";"바른손이앤에이";"봉준호";3
"TH20213330";"Thriller";"콘크리트 유토피아";15;"2021-05-13";"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트";"엄태화";0
"TH20221111";"Thriller";"드라이브";15;"2022-04-14";"(주)엠픽처스";"박동희";0
"WA20121117";"War";"5월 이후";0;"2012-05-18";"";"올리베에아사야스";1
